file,inspection,system_area,related_plan_entries,bytes,lines,sha256
apps/game/client/addons/godot_mcp/i18n/lang_ru.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/i18n/lang_zh_CN.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,7291,0,
apps/game/client/addons/godot_mcp/i18n/lang_zh_CN.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/i18n/lang_zh_TW.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,7321,0,
apps/game/client/addons/godot_mcp/i18n/lang_zh_TW.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/i18n/localization.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,3266,0,
apps/game/client/addons/godot_mcp/i18n/localization.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/mcp_server.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19222,0,
apps/game/client/addons/godot_mcp/mcp_server.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/plugin.cfg,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,191,0,
apps/game/client/addons/godot_mcp/plugin.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,38672,0,
apps/game/client/addons/godot_mcp/plugin.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/animation_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,69247,0,
apps/game/client/addons/godot_mcp/tools/animation_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/audio_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,18294,0,
apps/game/client/addons/godot_mcp/tools/audio_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/base_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,24641,0,
apps/game/client/addons/godot_mcp/tools/base_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/tools/debug_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,13197,0,
apps/game/client/addons/godot_mcp/tools/debug_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/editor_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,32360,0,
apps/game/client/addons/godot_mcp/tools/editor_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/tools/filesystem_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20864,0,
apps/game/client/addons/godot_mcp/tools/filesystem_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/geometry_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,27955,0,
apps/game/client/addons/godot_mcp/tools/geometry_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/group_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,6804,0,
apps/game/client/addons/godot_mcp/tools/group_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/lighting_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,29928,0,
apps/game/client/addons/godot_mcp/tools/lighting_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/material_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,23129,0,
apps/game/client/addons/godot_mcp/tools/material_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/navigation_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,12982,0,
apps/game/client/addons/godot_mcp/tools/navigation_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/tools/node_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,80510,0,
apps/game/client/addons/godot_mcp/tools/node_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/particle_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,25439,0,
apps/game/client/addons/godot_mcp/tools/particle_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/physics_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,39596,0,
apps/game/client/addons/godot_mcp/tools/physics_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/tools/project_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19451,0,
apps/game/client/addons/godot_mcp/tools/project_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/tools/resource_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,17043,0,
apps/game/client/addons/godot_mcp/tools/resource_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/scene_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,11347,0,
apps/game/client/addons/godot_mcp/tools/scene_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/script_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,22830,0,
apps/game/client/addons/godot_mcp/tools/script_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/shader_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,18203,0,
apps/game/client/addons/godot_mcp/tools/shader_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/signal_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,12157,0,
apps/game/client/addons/godot_mcp/tools/signal_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,20,0,
apps/game/client/addons/godot_mcp/tools/tilemap_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,17770,0,
apps/game/client/addons/godot_mcp/tools/tilemap_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/tools/ui_tools.gd,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,23192,0,
apps/game/client/addons/godot_mcp/tools/ui_tools.gd.uid,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,19,0,
apps/game/client/addons/godot_mcp/ui/settings_panel.tscn,excluded: third-party editor addon,excluded,Coverage exclusions — no conclusion based on contents,1431,0,
apps/game/client/assets/animations/diorama/README.md,excluded: existing document,excluded,Coverage exclusions — no conclusion based on contents,0,0,
apps/game/client/assets/animations/diorama/brute_locomotion.res,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",74170,0,bc596614a7994e14ab051d55fd03f3d7c94b91ae21618f449fd4127c856667aa
apps/game/client/assets/animations/diorama/digests.json,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",585,12,450741a328dd1f94bd3daf88f43920c28d2bc266d9bc70e2073492268f2fcce0
apps/game/client/assets/animations/diorama/hound_locomotion.res,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",60267,0,dffe91503d8f37bc6d239c568252380fcd4fa7ad6bd374048ddb0efb5dd037c5
apps/game/client/assets/animations/diorama/melee_locomotion.res,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",74170,0,6e3002428c98595b1dec2b7703a612387555cf32be26818eacfa896497a0ecf3
apps/game/client/assets/animations/diorama/player_locomotion.res,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",74168,0,1e1a27e1d35fe5535db5fb2b73b6829753097f4555d745be2d5a5546391fdd57
apps/game/client/assets/animations/diorama/ranged_locomotion.res,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",75408,0,77b9e042e03e405455f8350b9426b5a2aadadb7903e5f9c418457da33c0ab5e1
apps/game/client/assets/animations/diorama/shield_locomotion.res,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",75411,0,f5c467d09d5c26ad3cae8e2b18b643f95cc3ce83bfee21be9e17f73e93a8d9bc
apps/game/client/assets/audio/README.md,excluded: existing document,excluded,Coverage exclusions — no conclusion based on contents,0,0,
apps/game/client/assets/audio/crystal_caverns/ambience_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",744738,0,3a339b4266b740cb6ba2a0c914381705c8dfbd075333b18fb57f653599235145
apps/game/client/assets/audio/crystal_caverns/ambience_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",422,19,c0dd62c0f442097ba197015fe671a2a1995007ba6adb2796cf69fca2244240a5
apps/game/client/assets/audio/crystal_caverns/boss_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1121679,0,5ac7ab016d278e5459035b544ed4c75bbe2b115ee461fb2dbaaa5bb04252aec9
apps/game/client/assets/audio/crystal_caverns/boss_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",414,19,fd3cb2fc43b594c4e4d7a3360557345c8875d3e117196eb943de070811896596
apps/game/client/assets/audio/crystal_caverns/combat_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1211632,0,904913ccb6932196c8133551e6b0b3056b361363303499d10a099a0a3aeed3dd
apps/game/client/assets/audio/crystal_caverns/combat_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",417,19,f7003cffc1fb42afde8ded4530521cdd3b66ebcb99fd9ec5a839c249049048a1
apps/game/client/assets/audio/crystal_caverns/explore_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1132898,0,fc0e6f81c014e28b542e6dad6aa618f69d267f8bd2ae2dab54038d16ac5b837f
apps/game/client/assets/audio/crystal_caverns/explore_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",420,19,7e5109a562f047ba028d7568abe5504488ab7d932b036af382389b97025bd6cb
apps/game/client/assets/audio/dark_cathedral/ambience_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",712953,0,f60d3605a4db185092b056e848cfaeb6b65e543109ec7a091901508417435441
apps/game/client/assets/audio/dark_cathedral/ambience_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",422,19,f824e5796db42540eeb3fdd427c073b4b7c0300cd13cd7244858f6853b612386
apps/game/client/assets/audio/dark_cathedral/boss_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1081567,0,719cb1a4b55d2911485e55eb16169c246ac0f456514003ea987dae3005808eb0
apps/game/client/assets/audio/dark_cathedral/boss_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",413,19,4c163f317376ff4be1286b2316df4ee4bec58442501964a9c32a4b8355a17a90
apps/game/client/assets/audio/dark_cathedral/combat_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1072900,0,c6ebaab535243f755167b698a98f54da666ad1ceb3077006466a65a1ea154552
apps/game/client/assets/audio/dark_cathedral/combat_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",416,19,95864d1d622bc400b75e49f5ee4e5d67431e04e228db6824bcb8f5d7a96369e4
apps/game/client/assets/audio/dark_cathedral/explore_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1047094,0,12a2e4f6954a7fe447dd16bbf25deecb877836410550155c2bc52f3cfb287aef
apps/game/client/assets/audio/dark_cathedral/explore_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",419,19,54f75b291542cb4c5fe609018b914da2a9d253b5b0e85f56975c99d3c05270d0
apps/game/client/assets/audio/default_bus_layout.tres,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",701,33,99eae8d3c4bd14c7cbb868d90d5bb72df79de8464998a5c5140973bc1c6cf35e
apps/game/client/assets/audio/forgotten_castle/ambience_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",728068,0,748b7ea1c4c351dc11023ab693d96f8f5f283ab968827b5dd059cc3d51d2b0e7
apps/game/client/assets/audio/forgotten_castle/ambience_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",424,19,847bc7ccab34240fd5c70455343d89ec38b47a6a48b07d64a516b236bc5fb864
apps/game/client/assets/audio/forgotten_castle/boss_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1089421,0,382cebea2ab13179fd815f3fb1be8d58a7a97c66dbdd55c902131954f3143277
apps/game/client/assets/audio/forgotten_castle/boss_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",415,19,e364d647ed8c4bf1cd2fe7d5f26f6a6a8acef7f82d52c5185ca33a4f4576975e
apps/game/client/assets/audio/forgotten_castle/combat_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1068520,0,956e4ec5a37857ca667d97a4adfb2a0b8bfaddb98b2de88bfcd0c0e723cb628b
apps/game/client/assets/audio/forgotten_castle/combat_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",417,19,a18580ec38fdebe13c30417dac5fce99eb4623e1be8727f63a40e74811c3d1b6
apps/game/client/assets/audio/forgotten_castle/explore_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1067636,0,5a0646520427c6ad689d5ca67276a5e9bd652680dd9da4a0b988b01e5a954e0f
apps/game/client/assets/audio/forgotten_castle/explore_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",420,19,fbf0fc991f497f8ca614c97acf37ec00fdcba8b1d2d97aba88b0c542f8f232f7
apps/game/client/assets/audio/frozen_fortress/ambience_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",741108,0,ab6def926f8041f2df2c19331e9416897f8679d5c5fed170dc187a5cf6eb54ed
apps/game/client/assets/audio/frozen_fortress/ambience_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",423,19,3ec851d421fe81e416036ad82c79653bd08ab398df49a101a8f736b1713f33b3
apps/game/client/assets/audio/frozen_fortress/boss_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1132043,0,10c1878bdff9c8ba64fd3953811a97471b853ab77567cb3288fbde2e6ea5ecd1
apps/game/client/assets/audio/frozen_fortress/boss_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",413,19,256cba27ccf07cfdf43dd7cc0e2aea0e6d8359d41624f215076520db5dde7ef2
apps/game/client/assets/audio/frozen_fortress/combat_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1083599,0,6a2ff0de3df6a3976c16782309f6153a13a5bf246a7e1aad929de3959236b708
apps/game/client/assets/audio/frozen_fortress/combat_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",416,19,5081f1ec98250cdd8e0bacf556a8c19bb8aeb61b30447b0d8fccb23346492f5a
apps/game/client/assets/audio/frozen_fortress/explore_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1172785,0,76d206ba3b4d72525cf39d5622dd4365ee2bd0d95a18edd1d5f2be51b37d2a63
apps/game/client/assets/audio/frozen_fortress/explore_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",420,19,49823e059036ea927c9af7c6bda7d957eb0824e523741b2e73bd22da7fc59de3
apps/game/client/assets/audio/glacial_hollow/ambience_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",739809,0,214ececa5b7f833602d4c9630fcbe167128436660640a1c87182d299936969d9
apps/game/client/assets/audio/glacial_hollow/ambience_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",422,19,10a1d81e79795640965ba9d5dbb834360a77bbc09d2599812495210228117173
apps/game/client/assets/audio/glacial_hollow/boss_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1117054,0,7caa3a42c19189e1b0b516606e6c96243abe077212cad1d34371a4fe928d2617
apps/game/client/assets/audio/glacial_hollow/boss_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",413,19,1ef226ae8ab4cec3bad20eb72bed43519824ef8f6a9e25c099e8f1ddd5411fe8
apps/game/client/assets/audio/glacial_hollow/combat_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1208010,0,fd99e970d4330fdcc6931c0bb183440c571b9ab0fa40104701228a7c2f222769
apps/game/client/assets/audio/glacial_hollow/combat_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",416,19,5df75f1d70e5763d982d94818729f15acd955857397884ab9c7c475301b4bbc5
apps/game/client/assets/audio/glacial_hollow/explore_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1125097,0,df7aee3bdfeef5db9aad2798c60d15ed0dc982c97ccfe8fcbf3f9074d0150b93
apps/game/client/assets/audio/glacial_hollow/explore_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",418,19,c89155c140bcf1622a1e3938b6549042a66d31f6872f0b447e9b63e5f9c2484b
apps/game/client/assets/audio/iron_vault/ambience_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",689984,0,0ac13d255bdf4ee336af1320b542e9f70677d09be3e065c2ffd959724dfbc429
apps/game/client/assets/audio/iron_vault/ambience_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",418,19,1c3da79b19d40c55618372b219abee36e3ec24c180f0906f4e544b222762848c
apps/game/client/assets/audio/iron_vault/boss_theme.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1060693,0,ac0a43facf4560b9c91faf5748d542e1c59126cdc828127f2d3f74ddb4f2eef6
apps/game/client/assets/audio/iron_vault/boss_theme.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",409,19,d9ff697b3c6dd055fbd9a5ee7b74fbe328ab171619578c5f0e21518925998115
apps/game/client/assets/audio/iron_vault/combat_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",1054613,0,6367f71be3a6278a3398c5880cebe0fb348cdcb4749e9189b6f739530cada1a4
apps/game/client/assets/audio/iron_vault/combat_loop.ogg.import,automated full-file text/structure scan; manual per-file review not asserted,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",412,19,7594a5bb5c5bbd7ba14b16341bf3a7742f8047f52d61282dabcece4f5fd1753d
apps/game/client/assets/audio/iron_vault/explore_loop.ogg,binary bytes/header/hash checked; not visually or aurally reviewed,art/audio assets,"A01–A08, V01–V21; visual/audio quality gate",982754,0,4cc5c543075a5b83ae64e612f25d54f4ea7ef9045adafae3e7b22acedce8bba0
